ITEM	ESTE	NORTE	ALTITUD	DESCRIPCION 
1	482854.647	9530011.931	303.7206	EA2154
2	482855.5493	9530300.132	304.2814	EA300
3	484058.9495	9529591.909	299.1209	EA1885
4	483868.926	9529588.785	294.4788	EA10143
5	483841.2305	9529412.418	291.84	EA2143
6	484615.6871	9529802.88	292.027	EA9487
7	484240.3875	9528791.983	293.6328	EA1190
8	485724.3151	9529526.425	292.2784	MNF-MC04-ZA04
9	485305.6231	9529585.643	295.3935	EA7127
10	484278.1187	9528388.241	290.4294	EA10268
11	484151.4835	9528239.163	290.9375	BAT-ZA01
12	484226.3476	9528252.247	289.0052	EA10627
13	484290.4924	9528295.227	290.5913	MNF-EX-MC01-ZA01
14	484334.0229	9528082.22	287.5651	EA10118
15	484778.9276	9528203.218	286.6195	EA9002
16	484954.4251	9527931.297	286.3864	EA10117
17	485019.8758	9528005.749	283.3033	EA9197
18	483888.0089	9528552.765	290.627	EA9796
19	483703.9282	9528937.82	289.207	EA998
20	483437.8457	9528807.486	288.3515	EA9543
21	483248.2994	9528773.241	292.3104	EA2299
22	485126.5614	9528534.903	291.36	EA1167
23	485177.4133	9528723.454	285.8748	EA10004
24	480140.2003	9527231.247	290.5206	EA2119
25	480228.9152	9526996.129	288.0371	GEN25-CE10
26	480294.5384	9527067.413	287.8872	EA9239
27	479933.4472	9527146.464	283.8633	EA9222
28	480420.3451	9527179.25	289.8498	EA9068
29	480480.0441	9527403.517	291.5024	EA5719
30	480634.3398	9526959.173	289.5323	EA9258
31	479909.5779	9527357.76	286.6251	EA9083
32	479451.7526	9527468.155	288.8232	BAT-CE10-950
33	479559.9732	9527261.052	288.1907	EA9957
34	478868.4386	9526790.079	282.6307	EA9691
35	478620.5353	9526540.261	285.2605	EA9262
36	480444.4575	9526989.537	284.3153	EA9292
37	484338.9365	9526513.477	273.4623	EA10036
38	484648.3583	9526478.514	270.7816	EA9582
39	484617.8642	9526282.304	268.2369	EA9820
40	485036.8116	9526449.321	274.1512	EA1206
41	485038.3928	9526305.338	272.2958	EA9721
42	485347.3783	9526493.033	274.4618	EA5880
43	485353.2691	9526680.574	274.8581	EA9873
44	485672.3565	9526461.862	272.3717	EA9281
45	485598.4782	9526798.452	275.9164	EA7058
46	485807.5215	9526598.515	271.5447	EA9862
47	485798.5174	9526410.724	271.7457	EA7112
48	485979.7286	9526541.353	270.6433	EA10423
49	483948.8589	9528900.275	295.0159	EA10002
50	483761.3434	9529088.28	293.9739	EA1952
51	483976.256	9529072.891	291.0704	EA2142
52	483988.3963	9529156.265	294.6304	MNF-MC10-ZA01
53	485069.9916	9530164.97	294.9285	EA9507
54	484865.8754	9530091.634	298.9346	EA1221
55	484483.6817	9529722.256	292.5568	EA1107
56	484446.4169	9529947.55	299.6775	EA10039
57	484328.3849	9529920.921	296.5642	EA9443
58	485866.3861	9526395.443	271.4283	EA1160
59	483252.76	9529017.129	290.7222	EA10232
60	483525.5353	9529202.42	297.66	EA9719
61	482727.071	9529231.69	297.499	EA2233P
62	485395.0556	9529959.58	299.8271	EA1278
63	485041.2929	9529591.781	292.1515	EA1343
64	485126.3424	9529980.709	298.4617	EA1758
65	485498.0787	9529848.701	296.4497	EA7162
66	485581.317	9530154.404	297.6842	EA1619
