ITEM 	ESTE	NORTE	ALTITUD	DESCRIPCION 
1	478401.1583	9526875.193	287.3804	PAF1
2	478379.3448	9526497.104	285.2214	PAF2
3	478985.1543	9526855.719	284.4388	PAF3
4	479260.952	9526499.664	276.0388	PAF4
5	478743.6971	9526661.755	280.3857	PAF5
6	479961.4887	9526987.252	286.8838	PAF6
7	479322.6723	9526974.012	277.911	PAF7
8	479661.3682	9526952.397	285.6937	PAF8
9	479319.1996	9527603.654	288.2758	PAF9
10	479655.209	9527562.31	290.8703	PAF10
11	479493.9868	9527381.021	286.9636	PAF11
12	479744.8801	9527192.336	287.0333	PAF12
13	480197.9632	9527200.994	292.3357	PAF13
14	480252.9136	9527375.816	288.7516	PAF14
15	480019.2521	9527584.686	290.1237	PAF15
16	480236.2642	9527296.075	292.9808	PAF16
17	480351.1298	9527242.5	292.7483	PAF17
18	480368.9448	9527456.181	288.4436	PAF18
19	480686.9515	9527449.169	293.6447	PAF19
20	480676.6041	9526819.732	291.4259	PAF20
21	480186.1894	9526784.274	284.8228	PAF21
22	480472.941	9526985.563	283.7414	PAF22
23	480591.1998	9527136.578	286.0283	PAF23
24	479408.1352	9526625.063	281.2647	PAF24
25	482580.8842	9529802.436	301.4035	PAF25
26	482532.8904	9530346.198	307.035	PAF26
27	482966.0754	9530467.31	299.785	PAF27
28	483203.7195	9530163.084	302.4869	PAF28
29	483140.2891	9529604.476	298.4689	PAF29
30	482863.0917	9529996.654	303.0418	PAF30
31	483612.1303	9529540.145	300.1327	PAF31
32	483819.6676	9530004.169	300.1845	PAF32
33	484373.4183	9530009.465	300.9472	PAF33
34	485014.1621	9530331.696	302.6574	PAF34
35	485213.8241	9529889.045	299.5407	PAF35
36	485845.1361	9529957.554	294.9525	PAF36
37	485751.5269	9529551.879	293.1281	PAF37
38	485224.1705	9529280.642	286.3982	PAF38
39	485485.869	9529594.726	292.256	PAF39
40	484730.1727	9529591.98	289.9509	PAF40
41	485053.0691	9529541.613	291.7252	PAF41
42	484959.3453	9529187.714	287.3554	PAF42
43	484424.1495	9529196.231	296.083	PAF43
44	483985.3011	9529158.479	292.696	PAF44
45	483275.9677	9529177.008	290.2554	PAF45
46	484755.0992	9529912.485	297.2192	PAF46
47	484156.1547	9529522.921	297.8391	PAF47
48	485275.2583	9528847.131	289.7189	PAF48
49	485062.9796	9528333.942	288.3018	PAF49
50	484965.5496	9527847.055	284.9385	PAF50
51	484109.1553	9527738.298	279.9805	PAF51
52	483394.6159	9527702.244	285.2743	PAF52
53	483244.8517	9528084.375	286.6532	PAF53
54	483385.0354	9528402.927	283.9847	PAF54
55	483244.3026	9528758.782	291.8728	PAF55
56	483719.9415	9528872.797	290.0672	PAF56
57	484396.5702	9528952.931	295.2096	PAF57
58	484816.4328	9528803.936	289.3655	PAF58
59	484497.5658	9528626.408	292.656	PAF59
60	484551.0172	9528057.671	287.0432	PAF60
61	483680.9766	9527940.518	288.8562	PAF61
62	483919.1444	9528144.361	283.3975	PAF62
63	484121.3679	9528087.803	289.3865	PAF63
64	484133.0991	9528314.499	290.478	PAF64
65	483983.1453	9528422.914	290.1135	PAF65
66	483985.7926	9528306.164	287.6374	PAF66
67	484158.9082	9528238.572	290.6407	PAF67
68	484580.9099	9526307.498	269.1667	PAF68
69	484697.7712	9526862.526	278.5864	PAF69
70	485969.2126	9526866.175	276.0785	PAF70
71	485650.3136	9526563.267	273.0841	PAF72
72	486016.9605	9526289.069	270.3661	PAF71
73	485008.2739	9526300.566	272.0438	PAF73
74	485372.4141	9526193.55	271.2028	PAF74
75	485347.1651	9526796.793	275.4987	PAF75
76	484946.0797	9526546.599	276.4245	PAF76
